cohort_year,collection_key,reason
2026,mating-season-01,outside-animation-universe
2026,maul-shadow-lord-101,category-predicate-not-matched
2026,monarch-legacy-of-monsters-201,outside-animation-universe
2026,monarch-legacy-of-monsters-208,outside-animation-universe
2026,my-brilliant-career-2026-01,outside-animation-universe
2026,night-agent-03,outside-animation-universe
2026,obsession-2025,outside-animation-universe
2026,olympics-2026,outside-animation-universe
2026,one-piece-2023-02,outside-animation-universe
2026,pitt-201,outside-animation-universe
2026,pitt-213,outside-animation-universe
2026,president-curtis-01,outside-animation-universe
2026,project-hail-mary,outside-animation-universe
2026,reacher-401,outside-animation-universe
2026,rick-and-morty-901,outside-animation-universe
2026,season-2026-01,outside-animation-universe
2026,send-help,outside-animation-universe
2026,shards-101,outside-animation-universe
2026,silo-301,outside-animation-universe
2026,spider-noir-01,outside-animation-universe
2026,star-city-101,outside-animation-universe
2026,star-wars-visions-the-ninth-jedi-01,outside-animation-universe
2026,stranger-things-05.3,outside-animation-universe
2026,stranger-things-tales-from-85-01,outside-animation-universe
2026,sugar-201,outside-animation-universe
2026,super-mario-galaxy-movie,outside-animation-universe
2026,testaments-101,outside-animation-universe
2026,toy-story-5,outside-animation-universe
2026,widows-bay-108,outside-animation-universe
2026,world-cup-2026,outside-animation-universe
2026,x-men-97-201,outside-animation-universe
